random_seed,fold,held_out_city,roc_auc,pr_auc,top_20_percent_precision
11,1,AMS,0.5805152979066022,0.252865432541671,0.2777777777777778
11,2,JHB,0.5509259259259259,0.28511011047775753,0.25
11,3,LOA,0.49429563492063494,0.2606340168931525,0.25
11,4,MEL,0.5670289855072463,0.24586386567746216,0.25
11,5,SPO,0.6428571428571429,0.40811688311688304,0.5
42,1,AMS,0.5805152979066022,0.252865432541671,0.2777777777777778
42,2,JHB,0.5509259259259259,0.28511011047775753,0.25
42,3,LOA,0.49429563492063494,0.2606340168931525,0.25
42,4,MEL,0.5670289855072463,0.24586386567746216,0.25
42,5,SPO,0.6428571428571429,0.40811688311688304,0.5
73,1,AMS,0.5805152979066022,0.252865432541671,0.2777777777777778
73,2,JHB,0.5509259259259259,0.28511011047775753,0.25
73,3,LOA,0.49429563492063494,0.2606340168931525,0.25
73,4,MEL,0.5670289855072463,0.24586386567746216,0.25
73,5,SPO,0.6428571428571429,0.40811688311688304,0.5
101,1,AMS,0.5805152979066022,0.252865432541671,0.2777777777777778
101,2,JHB,0.5509259259259259,0.28511011047775753,0.25
101,3,LOA,0.49429563492063494,0.2606340168931525,0.25
101,4,MEL,0.5670289855072463,0.24586386567746216,0.25
101,5,SPO,0.6428571428571429,0.40811688311688304,0.5
137,1,AMS,0.5805152979066022,0.252865432541671,0.2777777777777778
137,2,JHB,0.5509259259259259,0.28511011047775753,0.25
137,3,LOA,0.49429563492063494,0.2606340168931525,0.25
137,4,MEL,0.5670289855072463,0.24586386567746216,0.25
137,5,SPO,0.6428571428571429,0.40811688311688304,0.5
