feature,mean_ks_statistic,maximum_ks_statistic,mean_absolute_standardized_difference,mean_range_overlap_percent
total_chargers,0.8389875004960121,1.0,3.7172360643345024,22.327272727272728
total_poi_within_1000m,0.7089134642133332,0.8892980437284235,1.995569831425464,48.50909090909091
population_3x3_sum,0.6005603741684056,0.8623376623376623,1.3471699109592223,64.21818181818182
total_poi_within_500m,0.5972076845023156,0.8084925201380898,1.5972882413686187,54.03636363636364
station_count,0.5845590867415398,0.7428840125391849,1.4968265135187984,66.03636363636363
built_surface_fraction_3x3,0.5219646562274236,0.8597979797979798,1.2504373131753583,85.38181818181819
