metric,mean_across_seeds,standard_deviation_across_seeds
mean_roc_auc,0.5548290487692662,0.006202859108582885
mean_pr_auc,0.2966053984511491,0.011427935354591039
mean_top_20_precision,0.2945833333333333,0.014824396496366443
