raster_name,coordinate_reference_system,width_pixels,height_pixels,pixel_width_meters,pixel_height_meters,nodata_value,data_type,band_count
GHS_BUILT_S_E2020_GLOBE_R2023A_54009_1000_V1_0.tif,ESRI:54009,36082,18000,1000.0,1000.0,4294967295.0,uint32,1
GHS_POP_E2020_GLOBE_R2023A_54009_1000_V1_0.tif,ESRI:54009,36082,18000,1000.0,1000.0,-200.0,float64,1
