metric,mean_across_seeds,standard_deviation_across_seeds
mean_roc_auc,0.5585533126293996,0.006921801486127859
mean_pr_auc,0.3041406560639379,0.002887314749291374
mean_top_20_precision,0.28055555555555556,0.02329237476562281
