archive_name,raster_name,extracted_path,extracted_size_mb
GHS_BUILT_S_E2020_GLOBE_R2023A_54009_1000_V1_0.zip,GHS_BUILT_S_E2020_GLOBE_R2023A_54009_1000_V1_0.tif,F:\UrbanEV_Charging_Demand\data\interim\ghsl_rasters\GHS_BUILT_S_E2020_GLOBE_R2023A_54009_1000_V1_0.tif,95.79
GHS_POP_E2020_GLOBE_R2023A_54009_1000_V1_0.zip,GHS_POP_E2020_GLOBE_R2023A_54009_1000_V1_0.tif,F:\UrbanEV_Charging_Demand\data\interim\ghsl_rasters\GHS_POP_E2020_GLOBE_R2023A_54009_1000_V1_0.tif,249.03
