model,city_mean_mae_log,city_mean_mae_raw,city_mean_rmse_raw,city_mean_r2_raw,city_median_r2_raw
City-balanced median baseline,1.1081296748868925,14.904119672483555,24.350823437170586,-0.6817857212245857,-0.5995417569316857
HistGradientBoosting,1.2128574353931865,15.662706315832224,25.233216627536383,-1.034613105357063,-0.7164310873913684
Ridge regression,1.2481474326458788,15.892525136931209,25.25287048070851,-1.0256888259669612,-0.7287012312631029
