model,mean_roc_auc,mean_pr_auc,mean_top_20_precision
Random forest classifier,0.5620327237175063,0.30755857720644986,0.3020833333333333
Logistic classifier,0.610531688520819,0.307157186099125,0.23402777777777778
Prevalence baseline,0.5,0.21342367996230935,0.17152777777777778
