model,mean_roc_auc,median_roc_auc,mean_pr_auc,median_pr_auc,mean_top_20_precision,median_top_20_precision
CatBoost,0.5577208419599724,0.537037037037037,0.3090880542565017,0.2935153369804899,0.3194444444444445,0.25
HistGradientBoosting,0.5671245974235105,0.5670289855072463,0.2905180617413853,0.2606340168931525,0.3055555555555555,0.25
XGBoost,0.5577779934437543,0.5370370370370371,0.2975849331442618,0.29085363200855446,0.2986111111111111,0.3125
SVM with RBF kernel,0.5838854382332643,0.5509259259259259,0.2902106507346154,0.27003736668705547,0.24930555555555553,0.25
Random Forest,0.5689412238325282,0.592391304347826,0.305529262597802,0.2861570084792173,0.22986111111111113,0.2222222222222222
Random-ranking baseline,0.5,0.5,0.21342367996230935,0.20689655172413793,0.21342367996230935,0.20689655172413793
Logistic Regression,0.5917414308718657,0.572463768115942,0.2993463745522229,0.24725179844665138,0.2048611111111111,0.125
