model,mean_spearman,median_spearman,mean_mae_percentile,mean_top_20_precision
Random forest ranking model,0.054916307716215605,0.019014110802673703,0.25234606013023536,0.2930555555555555
Ridge ranking model,0.015227521124891097,0.06367953948716891,0.25279485503071053,0.2111111111111111
Median baseline,,,0.24998818219880525,0.17152777777777778
