model,mean_spearman,median_spearman,mean_mae_percentile,mean_top_20_precision
Random forest ranking model,0.07034484050599768,0.014860598637812741,0.2549896334358736,0.21527777777777776
Ridge ranking model,0.06358272557233154,0.027890686595999473,0.2504969229908839,0.28402777777777777
Median baseline,,,0.24998818219880525,0.17152777777777778
