model,mean_roc_auc,median_roc_auc,mean_pr_auc,median_pr_auc,mean_top_20_precision,median_top_20_precision
HistGradientBoosting,0.5742548740510698,0.5740740740740741,0.33513683708184777,0.32041252504177364,0.3208333333333333,0.3333333333333333
Prevalence baseline,0.5,0.5,0.21342367996230935,0.20689655172413793,0.2583333333333333,0.25
Random Forest,0.571800235794801,0.5974235104669887,0.3078131081730806,0.2891260838526807,0.24097222222222223,0.25
Logistic regression,0.610531688520819,0.6105072463768116,0.307157186099125,0.27533634745658053,0.23402777777777778,0.16666666666666666
SVM with RBF kernel,0.3767382677708765,0.37359098228663445,0.21529783995635002,0.17709268360942237,0.11388888888888889,0.1111111111111111
