feature,urbanev_outside_range_count,urbanev_outside_range_percent
log_total_chargers,1991,4.0
log_station_count,0,0.0
temp_mean,9350,18.7845
humidity_mean,0,0.0
has_precipitation,0,0.0
recorded_day_of_week,0,0.0
