archive_name,raster_file,raster_size_mb,compressed_size_mb
GHS_BUILT_S_E2020_GLOBE_R2023A_54009_1000_V1_0.zip,GHS_BUILT_S_E2020_GLOBE_R2023A_54009_1000_V1_0.tif,95.79,86.92
GHS_POP_E2020_GLOBE_R2023A_54009_1000_V1_0.zip,GHS_POP_E2020_GLOBE_R2023A_54009_1000_V1_0.tif,249.03,212.37
